material,thickness,particle_type,energy,heating_mean,heating_std,total_mean,total_std,flux_mean,flux_std,sensitivity_mean,sensitivity_std,total_prob_mean,total_prob_std
diamond,0.05,neutron,5200000.0,27.41823802190328,1.2097376385549512,4.949287695617415e-05,2.1981077149488784e-07,0.0002549128233241039,1.1326368568822672e-06,5.2727380811352465e-06,2.3264185356825984e-07,4.949287695617415e-05,2.1981077149488784e-07
diamond,0.05,neutron,5300000.0,31.20072349347925,1.285330446191632,6.373489404797576e-05,3.124141293191248e-07,0.00025409414180704355,1.260781210710675e-06,5.88692896103382e-06,2.42515178526723e-07,6.373489404797576e-05,3.124141293191248e-07
diamond,0.05,neutron,5400000.0,28.974404116083985,1.1293276461505228,5.349213725745832e-05,2.4660138994847865e-07,0.00025621845657292054,1.1807301341464412e-06,5.365630391867405e-06,2.0913474928713386e-07,5.349213725745832e-05,2.4660138994847865e-07
diamond,0.05,neutron,5500000.0,30.862021964191367,1.4901181567618558,4.963476012843499e-05,2.1363567604528464e-07,0.0002542616634358644,1.092039991562454e-06,5.6112767207620664e-06,2.709305739567011e-07,4.963476012843499e-05,2.1363567604528464e-07
diamond,0.05,neutron,5600000.0,30.142392435894813,1.360489591127781,4.859016740578723e-05,2.4605814081873675e-07,0.0002540893087295035,1.28637301212546e-06,5.382570077838359e-06,2.429445698442466e-07,4.859016740578723e-05,2.4605814081873675e-07
diamond,0.05,neutron,5700000.0,29.321560176285242,1.5096418113560985,4.835727232751216e-05,2.238540193019766e-07,0.00025463233908340575,1.1786224192366031e-06,5.1441333642605684e-06,2.648494405887892e-07,4.835727232751216e-05,2.238540193019766e-07
diamond,0.05,neutron,5800000.0,31.986774267733733,1.3080898583775264,4.860801261030342e-05,2.1272722389028545e-07,0.0002551377799850274,1.1165176612099698e-06,5.514961080643747e-06,2.255327342030218e-07,4.860801261030342e-05,2.1272722389028545e-07
diamond,0.05,neutron,5900000.0,31.720243132145015,1.6716234901613323,4.901409886387009e-05,2.380606657408381e-07,0.0002540919138733822,1.2346203295561016e-06,5.376312395278816e-06,2.8332601528158174e-07,4.901409886387009e-05,2.380606657408381e-07
diamond,0.05,neutron,6000000.0,33.07367342860161,1.474329370030404,4.986828226988133e-05,2.5427548467306525e-07,0.00025255446855462044,1.288462781642267e-06,5.512278904766934e-06,2.4572156167173403e-07,4.986828226988133e-05,2.5427548467306525e-07
diamond,0.05,neutron,6100000.0,35.34842499830948,1.559068107411799,5.363145876160714e-05,2.2873935670191933e-07,0.00025583690187216485,1.0846276145987748e-06,5.794823770214669e-06,2.555849356412785e-07,5.363145876160714e-05,2.2873935670191933e-07
diamond,0.05,neutron,6200000.0,64.95051277579668,2.417277676367913,8.412106375914567e-05,4.219255079400008e-07,0.00025184836572319104,1.1852557582975876e-06,1.047588915738656e-05,3.898834961883731e-07,8.412106375914567e-05,4.219255079400008e-07
diamond,0.05,neutron,6300000.0,43.87747300599952,1.651781492236849,7.143354962685388e-05,3.1070015203668216e-07,0.00025221512100983954,1.095379029566694e-06,6.9646782549205585e-06,2.6218753845029347e-07,7.143354962685388e-05,3.1070015203668216e-07
diamond,0.05,neutron,6400000.0,30.272930464888635,1.2042609121323382,4.8403298411640305e-05,2.520135266459905e-07,0.00025381611147867115,1.3234320832448276e-06,4.7301453851388495e-06,1.8816576752067784e-07,4.8403298411640305e-05,2.520135266459905e-07
diamond,0.05,neutron,6500000.0,22.53675362260826,1.1974350708864936,3.97492865970705e-05,1.8200232049324212e-07,0.0002518426252303796,1.1444343492333849e-06,3.467192865016655e-06,1.8422078013638362e-07,3.97492865970705e-05,1.8200232049324212e-07
diamond,0.05,neutron,6600000.0,26.019821695131057,1.1380787282165248,3.656870636427654e-05,1.7872576785974737e-07,0.00025294281941177696,1.234098646393865e-06,3.9423972265350085e-06,1.724361709418977e-07,3.656870636427654e-05,1.7872576785974737e-07
diamond,0.05,neutron,6700000.0,27.64044584926502,1.4555214192007762,3.660868487223307e-05,1.6291977289915057e-07,0.0002534993310019299,1.126303515382909e-06,4.125439678994779e-06,2.172420028657875e-07,3.660868487223307e-05,1.6291977289915057e-07
diamond,0.05,neutron,6800000.0,25.43014674571905,1.5601027444621811,3.521239636720172e-05,1.5392196750978967e-07,0.0002529727821494606,1.1065531412574411e-06,3.7397274626057427e-06,2.2942687418561488e-07,3.521239636720172e-05,1.5392196750978967e-07
diamond,0.05,neutron,6900000.0,25.98734246199772,1.4655343662256912,3.4078947156740254e-05,1.5026838318211133e-07,0.0002536452604733129,1.118483264703695e-06,3.7662815162315535e-06,2.123962849602451e-07,3.4078947156740254e-05,1.5026838318211133e-07
diamond,0.05,neutron,7000000.0,26.101488800963065,1.4128896587820254,3.356100705347987e-05,1.56159441087976e-07,0.0002539373508857637,1.1815894083060738e-06,3.728784114423295e-06,2.0184137982600365e-07,3.356100705347987e-05,1.56159441087976e-07
diamond,0.05,neutron,7100000.0,24.18991670084077,1.3105534387966296,3.514273832781822e-05,1.468362219453547e-07,0.00025475240683461685,1.0643513605826256e-06,3.4070305212451786e-06,1.8458499137980698e-07,3.514273832781822e-05,1.468362219453547e-07
diamond,0.05,neutron,7200000.0,25.386953909319764,1.2990514240587476,4.490742585358579e-05,1.9580004297437836e-07,0.00025185680658804777,1.0589111255842329e-06,3.525965820738856e-06,1.8042380889704828e-07,4.490742585358579e-05,1.9580004297437836e-07
diamond,0.05,neutron,7300000.0,37.29295750509966,1.4404027268002901,7.340853690674264e-05,2.9378701087665733e-07,0.0002514701342466783,1.0038925061710405e-06,5.108624315767076e-06,1.9731544202743702e-07,7.340853690674264e-05,2.9378701087665733e-07
diamond,0.05,neutron,7400000.0,54.47209348306803,1.8075236472513854,7.85571979447519e-05,3.5322239297976934e-07,0.00025211929200398694,1.1334265125704823e-06,7.361093713928112e-06,2.442599523312683e-07,7.85571979447519e-05,3.5322239297976934e-07
diamond,0.05,neutron,7500000.0,64.23891369833359,2.5084806194359364,7.699737289909109e-05,3.1880945293687895e-07,0.00025173482276083075,1.0409597109711638e-06,8.565188493111145e-06,3.344640825914582e-07,7.699737289909109e-05,3.1880945293687895e-07
diamond,0.05,neutron,7600000.0,64.48686079139092,2.617994194176498,7.882594285909503e-05,3.6020750220954823e-07,0.000253474595347198,1.1591200448541526e-06,8.48511326202512e-06,3.4447292028638133e-07,7.882594285909503e-05,3.6020750220954823e-07
diamond,0.05,neutron,7700000.0,86.30261622078756,2.6571562701018148,9.976318737178153e-05,4.895109975879838e-07,0.0002537472168306787,1.2442016526388853e-06,1.1208131976725657e-05,3.450852298833526e-07,9.976318737178153e-05,4.895109975879838e-07
