particle,energy_MeV,detector_material,detector_thickness_mm,mean_eDep_MeV,std_eDep_MeV,stderr_eDep_MeV,n_events
deuteron,2.5,Si,0.75,2.5,0.0,0.0,10000
deuteron,2.5,Si,1.0,2.5,0.0,0.0,10000
deuteron,2.5,Si,1.25,2.5,0.0,0.0,10000
deuteron,2.5,Si,1.5,2.5,0.0,0.0,10000
deuteron,2.5,Si,1.75,2.5,0.0,0.0,10000
deuteron,2.5,Si,2.0,2.5,0.0,0.0,10000
deuteron,2.6,Si,0.5,2.6,1.56314e-06,1.56314e-08,10000
deuteron,2.6,Si,0.75,2.6,1.56314e-06,1.56314e-08,10000
deuteron,2.6,Si,1.0,2.6,1.56314e-06,1.56314e-08,10000
deuteron,2.6,Si,1.25,2.6,1.56286e-06,1.56286e-08,10000
deuteron,2.6,Si,1.5,2.6,1.56314e-06,1.56314e-08,10000
deuteron,2.6,Si,1.75,2.6,1.56314e-06,1.56314e-08,10000
deuteron,2.6,Si,2.0,2.6,1.56286e-06,1.56286e-08,10000
deuteron,2.6999999999999997,Si,0.5,2.7,0.0,0.0,10000
deuteron,2.6999999999999997,Si,0.75,2.7,0.0,0.0,10000
deuteron,2.6999999999999997,Si,1.0,2.7,0.0,0.0,10000
deuteron,2.6999999999999997,Si,1.25,2.70021,0.0214867,0.000214867,10000
deuteron,2.6999999999999997,Si,1.5,2.7,0.0,0.0,10000
deuteron,2.6999999999999997,Si,1.75,2.7,0.0,0.0,10000
deuteron,2.6999999999999997,Si,2.0,2.7,0.0,0.0,10000
deuteron,2.8,Si,0.5,2.8,8.34018e-07,8.34018e-09,10000
deuteron,2.8,Si,0.75,2.8,8.34018e-07,8.34018e-09,10000
deuteron,2.8,Si,1.0,2.8,8.35082e-07,8.35082e-09,10000
deuteron,2.8,Si,1.25,2.79979,0.0209341,0.000209341,10000
deuteron,2.8,Si,1.5,2.8,8.34018e-07,8.34018e-09,10000
deuteron,2.8,Si,1.75,2.8,8.34018e-07,8.34018e-09,10000
deuteron,2.8,Si,2.0,2.8,8.34018e-07,8.34018e-09,10000
deuteron,2.9,Si,0.5,2.9,0.0,0.0,10000
deuteron,2.9,Si,0.75,2.9,0.0,0.0,10000
deuteron,2.9,Si,1.0,2.89976,0.0235076,0.000235076,10000
deuteron,2.9,Si,1.25,2.9,0.0,0.0,10000
deuteron,2.9,Si,1.5,2.9,0.0,0.0,10000
deuteron,2.9,Si,1.75,2.9,0.0,0.0,10000
deuteron,2.9,Si,2.0,2.9,0.0,0.0,10000
deuteron,3.0,Si,0.5,3.0,0.0,0.0,10000
deuteron,3.0,Si,0.75,3.0,0.0,0.0,10000
deuteron,3.0,Si,1.0,2.99983,0.0170555,0.000170555,10000
deuteron,3.0,Si,1.25,3.0,0.0,0.0,10000
deuteron,3.0,Si,1.5,3.0,0.0,0.0,10000
deuteron,3.0,Si,1.75,3.0,0.0,0.0,10000
deuteron,3.0,Si,2.0,2.99981,0.0185616,0.000185616,10000
deuteron,3.0999999999999996,Si,0.5,3.1,1.98331e-06,1.98331e-08,10000
deuteron,3.0999999999999996,Si,0.75,3.10008,0.0083413,8.3413e-05,10000
deuteron,3.0999999999999996,Si,1.0,3.10013,0.0127568,0.000127568,10000
deuteron,3.0999999999999996,Si,1.25,3.09984,0.0160327,0.000160327,10000
deuteron,3.0999999999999996,Si,1.5,3.1,1.98331e-06,1.98331e-08,10000
deuteron,3.0999999999999996,Si,1.75,3.1,1.98306e-06,1.98306e-08,10000
deuteron,3.0999999999999996,Si,2.0,3.1,1.98331e-06,1.98331e-08,10000
deuteron,3.1999999999999997,Si,0.5,3.2,0.0,0.0,10000
deuteron,3.1999999999999997,Si,0.75,3.2,0.0,0.0,10000
deuteron,3.1999999999999997,Si,1.0,3.2,0.0,0.0,10000
deuteron,3.1999999999999997,Si,1.25,3.20007,0.00689858,6.89858e-05,10000
deuteron,3.1999999999999997,Si,1.5,3.19998,0.00186422,1.86422e-05,10000
deuteron,3.1999999999999997,Si,1.75,3.2,0.0,0.0,10000
deuteron,3.1999999999999997,Si,2.0,3.2,0.0,0.0,10000
deuteron,3.3,Si,0.5,3.29977,0.0229697,0.000229697,10000
deuteron,3.3,Si,0.75,3.3,1.64442e-06,1.64442e-08,10000
deuteron,3.3,Si,1.0,3.3,1.64442e-06,1.64442e-08,10000
deuteron,3.3,Si,1.25,3.29998,0.00167655,1.67655e-05,10000
deuteron,3.3,Si,1.5,3.29993,0.00662345,6.62345e-05,10000
deuteron,3.3,Si,1.75,3.3,1.64442e-06,1.64442e-08,10000
deuteron,3.3,Si,2.0,3.29991,0.0283913,0.000283913,10000
deuteron,3.4,Si,0.5,3.4,0.0,0.0,10000
deuteron,3.4,Si,0.75,3.39996,0.00422918,4.22918e-05,10000
deuteron,3.4,Si,1.0,3.40019,0.0185608,0.000185608,10000
deuteron,3.4,Si,1.25,3.39971,0.0289427,0.000289427,10000
deuteron,3.4,Si,1.5,3.4,0.0,0.0,10000
deuteron,3.4,Si,1.75,3.4,0.0,0.0,10000
deuteron,3.4,Si,2.0,3.3998,0.0202172,0.000202172,10000
deuteron,3.5,Si,0.5,3.5,0.0,0.0,10000
deuteron,3.5,Si,0.75,3.5,0.0,0.0,10000
deuteron,3.5,Si,1.0,3.5,0.0,0.0,10000
deuteron,3.5,Si,1.25,3.5,0.0,0.0,10000
deuteron,3.5,Si,1.5,3.50015,0.0150059,0.000150059,10000
deuteron,3.5,Si,1.75,3.5,0.00770582,7.70582e-05,10000
deuteron,3.5,Si,2.0,3.50019,0.0257442,0.000257442,10000
deuteron,3.5999999999999996,Si,0.5,3.59989,0.011138,0.00011138,10000
deuteron,3.5999999999999996,Si,0.75,3.59988,0.025055,0.00025055,10000
deuteron,3.5999999999999996,Si,1.0,3.60009,0.0381005,0.000381005,10000
deuteron,3.5999999999999996,Si,1.25,3.5999,0.0248464,0.000248464,10000
deuteron,3.5999999999999996,Si,1.5,3.59955,0.044379,0.00044379,10000
deuteron,3.5999999999999996,Si,1.75,3.60003,0.00296625,2.96625e-05,10000
deuteron,3.5999999999999996,Si,2.0,3.59957,0.0275714,0.000275714,10000
deuteron,3.6999999999999997,Si,0.5,3.69954,0.0354081,0.000354081,10000
deuteron,3.6999999999999997,Si,0.75,3.7,8.52607e-07,8.52607e-09,10000
deuteron,3.6999999999999997,Si,1.0,3.7,8.54688e-07,8.54688e-09,10000
deuteron,3.6999999999999997,Si,1.25,3.69954,0.033227,0.00033227,10000
deuteron,3.6999999999999997,Si,1.5,3.6997,0.0286167,0.000286167,10000
deuteron,3.6999999999999997,Si,1.75,3.69996,0.00761643,7.61643e-05,10000
deuteron,3.6999999999999997,Si,2.0,3.70057,0.0818383,0.000818383,10000
deuteron,3.8,Si,0.5,3.79993,0.0330363,0.000330363,10000
deuteron,3.8,Si,0.75,3.7999,0.0164038,0.000164038,10000
deuteron,3.8,Si,1.0,3.79976,0.0198527,0.000198527,10000
deuteron,3.8,Si,1.25,3.7998,0.0313339,0.000313339,10000
deuteron,3.8,Si,1.5,3.79966,0.0251178,0.000251178,10000
deuteron,3.8,Si,1.75,3.80014,0.0140441,0.000140441,10000
deuteron,3.8,Si,2.0,3.8,1.40936e-06,1.40936e-08,10000
deuteron,3.9,Si,0.5,3.89968,0.0317044,0.000317044,10000
deuteron,3.9,Si,0.75,3.90009,0.0476888,0.000476888,10000
deuteron,3.9,Si,1.0,3.89941,0.0416274,0.000416274,10000
deuteron,3.9,Si,1.25,3.90023,0.0234153,0.000234153,10000
deuteron,3.9,Si,1.5,3.90037,0.0479213,0.000479213,10000
deuteron,3.9,Si,1.75,3.90032,0.0323113,0.000323113,10000
deuteron,3.9,Si,2.0,3.90008,0.0140349,0.000140349,10000
deuteron,3.9999999999999996,Si,0.5,4.00047,0.0335691,0.000335691,10000
deuteron,3.9999999999999996,Si,0.75,3.99982,0.0182858,0.000182858,10000
deuteron,3.9999999999999996,Si,1.0,4.00012,0.00878711,8.78711e-05,10000
deuteron,3.9999999999999996,Si,1.25,3.99991,0.00971441,9.71441e-05,10000
deuteron,3.9999999999999996,Si,1.5,3.99978,0.02691,0.0002691,10000
deuteron,3.9999999999999996,Si,1.75,4.0,5.96046e-08,5.96046e-10,10000
deuteron,3.9999999999999996,Si,2.0,3.99981,0.0208608,0.000208608,10000
deuteron,4.1,Si,0.5,4.09999,0.0021104,2.1104e-05,10000
deuteron,4.1,Si,0.75,4.09997,0.00299217,2.99217e-05,10000
deuteron,4.1,Si,1.0,4.10027,0.0266937,0.000266937,10000
deuteron,4.1,Si,1.25,4.09989,0.00831623,8.31623e-05,10000
deuteron,4.1,Si,1.5,4.1002,0.0140981,0.000140981,10000
deuteron,4.1,Si,1.75,4.09999,0.0238358,0.000238358,10000
deuteron,4.1,Si,2.0,4.10061,0.0614588,0.000614588,10000
deuteron,4.199999999999999,Si,0.5,4.2003,0.0296915,0.000296915,10000
deuteron,4.199999999999999,Si,0.75,4.20056,0.0560119,0.000560119,10000
deuteron,4.199999999999999,Si,1.0,4.2009,0.0697898,0.000697898,10000
deuteron,4.199999999999999,Si,1.25,4.2004,0.0396449,0.000396449,10000
deuteron,4.199999999999999,Si,1.5,4.20042,0.0330179,0.000330179,10000
deuteron,4.199999999999999,Si,1.75,4.20004,0.0466229,0.000466229,10000
deuteron,4.199999999999999,Si,2.0,4.1997,0.0392296,0.000392296,10000
deuteron,4.299999999999999,Si,0.5,4.29975,0.0395866,0.000395866,10000
deuteron,4.299999999999999,Si,0.75,4.3,0.0,0.0,10000
deuteron,4.299999999999999,Si,1.0,4.2994,0.0396872,0.000396872,10000
deuteron,4.299999999999999,Si,1.25,4.30115,0.0710169,0.000710169,10000
deuteron,4.299999999999999,Si,1.5,4.3002,0.077191,0.00077191,10000
deuteron,4.299999999999999,Si,1.75,4.29992,0.0464054,0.000464054,10000
deuteron,4.299999999999999,Si,2.0,4.3001,0.00966837,9.66837e-05,10000
deuteron,4.3999999999999995,Si,0.5,4.39978,0.0487903,0.000487903,10000
deuteron,4.3999999999999995,Si,0.75,4.39993,0.0305857,0.000305857,10000
deuteron,4.3999999999999995,Si,1.0,4.39974,0.0234275,0.000234275,10000
deuteron,4.3999999999999995,Si,1.25,4.39877,0.0581673,0.000581673,10000
deuteron,4.3999999999999995,Si,1.5,4.40029,0.0658639,0.000658639,10000
deuteron,4.3999999999999995,Si,1.75,4.3998,0.0440053,0.000440053,10000
deuteron,4.3999999999999995,Si,2.0,4.4,0.0,0.0,10000
deuteron,4.499999999999999,Si,0.5,4.49967,0.0429844,0.000429844,10000
deuteron,4.499999999999999,Si,0.75,4.50015,0.014641,0.00014641,10000
deuteron,4.499999999999999,Si,1.0,4.49993,0.043177,0.00043177,10000
deuteron,4.499999999999999,Si,1.25,4.49994,0.0775254,0.000775254,10000
deuteron,4.499999999999999,Si,1.5,4.49901,0.0557641,0.000557641,10000
deuteron,4.499999999999999,Si,1.75,4.49965,0.0369193,0.000369193,10000
deuteron,4.499999999999999,Si,2.0,4.49952,0.0536848,0.000536848,10000
deuteron,4.6,Si,0.5,4.60011,0.0110485,0.000110485,10000
deuteron,4.6,Si,0.75,4.60031,0.0671208,0.000671208,10000
deuteron,4.6,Si,1.0,4.59931,0.0439803,0.000439803,10000
deuteron,4.6,Si,1.25,4.6,3.27189e-06,3.27189e-08,10000
deuteron,4.6,Si,1.5,4.6002,0.0641324,0.000641324,10000
deuteron,4.6,Si,1.75,4.59981,0.0331179,0.000331179,10000
deuteron,4.6,Si,2.0,4.60012,0.0463361,0.000463361,10000
deuteron,4.699999999999999,Si,0.5,4.6997,0.0475665,0.000475665,10000
deuteron,4.699999999999999,Si,0.75,4.69991,0.034882,0.00034882,10000
deuteron,4.699999999999999,Si,1.0,4.69912,0.0543678,0.000543678,10000
deuteron,4.699999999999999,Si,1.25,4.69975,0.0733387,0.000733387,10000
deuteron,4.699999999999999,Si,1.5,4.69964,0.0404285,0.000404285,10000
deuteron,4.699999999999999,Si,1.75,4.69962,0.0645485,0.000645485,10000
deuteron,4.699999999999999,Si,2.0,4.69993,0.0357974,0.000357974,10000
deuteron,4.799999999999999,Si,0.5,4.79989,0.00829544,8.29544e-05,10000
deuteron,4.799999999999999,Si,0.75,4.79974,0.0331979,0.000331979,10000
deuteron,4.799999999999999,Si,1.0,4.79957,0.0523116,0.000523116,10000
deuteron,4.799999999999999,Si,1.25,4.80001,0.0414381,0.000414381,10000
deuteron,4.799999999999999,Si,1.5,4.79945,0.0532714,0.000532714,10000
deuteron,4.799999999999999,Si,1.75,4.80011,0.00788083,7.88083e-05,10000
deuteron,4.799999999999999,Si,2.0,4.79987,0.010168,0.00010168,10000
deuteron,4.8999999999999995,Si,0.5,4.90024,0.0187284,0.000187284,10000
deuteron,4.8999999999999995,Si,0.75,4.89973,0.0579725,0.000579725,10000
deuteron,4.8999999999999995,Si,1.0,4.89983,0.0306111,0.000306111,10000
deuteron,4.8999999999999995,Si,1.25,4.89951,0.044808,0.00044808,10000
deuteron,4.8999999999999995,Si,1.5,4.89894,0.0511289,0.000511289,10000
deuteron,4.8999999999999995,Si,1.75,4.89997,0.0502692,0.000502692,10000
deuteron,4.8999999999999995,Si,2.0,4.90041,0.0363195,0.000363195,10000
deuteron,4.999999999999999,Si,0.5,5.00012,0.0318754,0.000318754,10000
deuteron,4.999999999999999,Si,0.75,4.99984,0.0106058,0.000106058,10000
deuteron,4.999999999999999,Si,1.0,5.00044,0.035327,0.00035327,10000
deuteron,4.999999999999999,Si,1.25,4.99948,0.0370188,0.000370188,10000
deuteron,4.999999999999999,Si,1.5,5.00021,0.079517,0.00079517,10000
deuteron,4.999999999999999,Si,1.75,4.99933,0.0584778,0.000584778,10000
deuteron,4.999999999999999,Si,2.0,5.00012,0.0420287,0.000420287,10000
deuteron,5.1,Si,0.5,5.0999,0.0381504,0.000381504,10000
deuteron,5.1,Si,0.75,5.09979,0.0157641,0.000157641,10000
deuteron,5.1,Si,1.0,5.09974,0.0447632,0.000447632,10000
deuteron,5.1,Si,1.25,5.09995,0.0307142,0.000307142,10000
deuteron,5.1,Si,1.5,5.09975,0.0416273,0.000416273,10000
deuteron,5.1,Si,1.75,5.10052,0.0642596,0.000642596,10000
deuteron,5.1,Si,2.0,5.09881,0.06179,0.0006179,10000
deuteron,5.199999999999999,Si,0.5,5.20001,0.0114387,0.000114387,10000
deuteron,5.199999999999999,Si,0.75,5.20026,0.0446241,0.000446241,10000
deuteron,5.199999999999999,Si,1.0,5.20007,0.0771614,0.000771614,10000
deuteron,5.199999999999999,Si,1.25,5.20007,0.0745746,0.000745746,10000
deuteron,5.199999999999999,Si,1.5,5.20005,0.00548974,5.48974e-05,10000
deuteron,5.199999999999999,Si,1.75,5.20052,0.061852,0.00061852,10000
deuteron,5.199999999999999,Si,2.0,5.2001,0.0423011,0.000423011,10000
deuteron,5.299999999999999,Si,0.5,5.29978,0.0601693,0.000601693,10000
deuteron,5.299999999999999,Si,0.75,5.30012,0.0928572,0.000928572,10000
deuteron,5.299999999999999,Si,1.0,5.29997,0.0155665,0.000155665,10000
deuteron,5.299999999999999,Si,1.25,5.30019,0.0325787,0.000325787,10000
deuteron,5.299999999999999,Si,1.5,5.30031,0.0795954,0.000795954,10000
deuteron,5.299999999999999,Si,1.75,5.29988,0.0380283,0.000380283,10000
deuteron,5.299999999999999,Si,2.0,5.29989,0.0619239,0.000619239,10000
deuteron,5.3999999999999995,Si,0.5,5.40079,0.0523315,0.000523315,10000
